# messageDelay  cumulativeProbability
1.0000 0.0005
2.0000 0.0010
2.0000 0.0015
2.0000 0.0020
2.0000 0.0025
2.0000 0.0030
2.0000 0.0035
2.0000 0.0040
2.0000 0.0045
2.0000 0.0050
2.0000 0.0055
2.0000 0.0060
2.0000 0.0065
2.0000 0.0070
2.0000 0.0075
2.0000 0.0080
2.0000 0.0085
2.0000 0.0090
2.0000 0.0095
2.0000 0.0100
2.0000 0.0105
2.0000 0.0110
2.0000 0.0115
2.0000 0.0120
2.0000 0.0125
2.0000 0.0130
2.0000 0.0135
2.0000 0.0140
2.0000 0.0145
2.0000 0.0150
2.0000 0.0155
2.0000 0.0160
2.0000 0.0165
2.0000 0.0170
2.0000 0.0175
2.0000 0.0180
2.0000 0.0185
2.0000 0.0190
2.0000 0.0195
2.0000 0.0200
2.0000 0.0205
2.0000 0.0210
2.0000 0.0215
2.0000 0.0220
2.0000 0.0225
2.0000 0.0230
2.0000 0.0235
2.0000 0.0240
2.0000 0.0245
2.0000 0.0250
2.0000 0.0255
2.0000 0.0260
2.0000 0.0265
2.0000 0.0270
2.0000 0.0275
2.0000 0.0280
2.0000 0.0285
2.0000 0.0290
2.0000 0.0295
2.0000 0.0300
2.0000 0.0305
2.0000 0.0310
2.0000 0.0315
2.0000 0.0320
2.0000 0.0325
2.0000 0.0330
2.0000 0.0335
2.0000 0.0340
2.0000 0.0345
2.0000 0.0350
2.0000 0.0355
2.0000 0.0360
2.0000 0.0365
2.0000 0.0370
2.0000 0.0375
2.0000 0.0380
2.0000 0.0385
2.0000 0.0390
2.0000 0.0395
2.0000 0.0400
2.0000 0.0405
2.0000 0.0410
2.0000 0.0415
2.0000 0.0420
2.0000 0.0425
2.0000 0.0430
2.0000 0.0435
2.0000 0.0440
2.0000 0.0445
2.0000 0.0450
2.0000 0.0455
2.0000 0.0460
2.0000 0.0465
2.0000 0.0470
2.0000 0.0475
2.0000 0.0480
2.0000 0.0485
2.0000 0.0490
2.0000 0.0495
2.0000 0.0501
2.0000 0.0506
2.0000 0.0511
2.0000 0.0516
2.0000 0.0521
2.0000 0.0526
2.0000 0.0531
2.0000 0.0536
2.0000 0.0541
2.0000 0.0546
2.0000 0.0551
2.0000 0.0556
2.0000 0.0561
2.0000 0.0566
2.0000 0.0571
2.0000 0.0576
2.0000 0.0581
2.0000 0.0586
2.0000 0.0591
2.0000 0.0596
2.0000 0.0601
2.0000 0.0606
2.0000 0.0611
2.0000 0.0616
2.0000 0.0621
2.0000 0.0626
2.0000 0.0631
2.0000 0.0636
2.0000 0.0641
2.0000 0.0646
2.0000 0.0651
2.0000 0.0656
2.0000 0.0661
2.0000 0.0666
2.0000 0.0671
2.0000 0.0676
2.0000 0.0681
2.0000 0.0686
2.0000 0.0691
2.0000 0.0696
2.0000 0.0701
2.0000 0.0706
2.0000 0.0711
2.0000 0.0716
2.0000 0.0721
2.0000 0.0726
